grid_id,run_timestamp,as_of_date,reason
AIZ_GRID_026,2026-09-12T10:41:04.765288,2026-09-12,"Fetch failed for grid AIZ_GRID_026 at (23.618472,92.785208875): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_027,2026-09-12T10:41:04.765294,2026-09-12,"Fetch failed for grid AIZ_GRID_027 at (23.613425666666668,92.810047): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_028,2026-09-12T10:41:04.765296,2026-09-12,"Fetch failed for grid AIZ_GRID_028 at (23.62277733333333,92.86018666666666): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_032,2026-09-12T10:41:04.765298,2026-09-12,"Fetch failed for grid AIZ_GRID_032 at (23.6616666,92.6770008): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_033,2026-09-12T10:41:04.765299,2026-09-12,"Fetch failed for grid AIZ_GRID_033 at (23.676107205128208,92.71990133333334): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_036,2026-09-12T10:41:04.765301,2026-09-12,"Fetch failed for grid AIZ_GRID_036 at (23.681150714285714,92.85990128571429): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_040,2026-09-12T10:41:04.765303,2026-09-12,"Fetch failed for grid AIZ_GRID_040 at (23.73781970588235,92.69431394117647): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_041,2026-09-12T10:41:04.765304,2026-09-12,"Fetch failed for grid AIZ_GRID_041 at (23.72203618032787,92.71799381967213): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_069,2026-09-12T10:41:04.843141,2026-09-12,"Fetch failed for grid AIZ_GRID_069 at (23.875476,92.83881014285714): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_070,2026-09-12T10:41:04.843145,2026-09-12,"Fetch failed for grid AIZ_GRID_070 at (23.87980142857143,92.86349271428571): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_111,2026-09-12T10:41:04.843147,2026-09-12,"Fetch failed for grid AIZ_GRID_111 at (24.178763500000002,92.9374605): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_116,2026-09-12T10:41:04.843149,2026-09-12,"Fetch failed for grid AIZ_GRID_116 at (24.282961333333333,92.93900366666666): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_117,2026-09-12T10:41:04.843150,2026-09-12,"Fetch failed for grid AIZ_GRID_117 at (24.273194,92.967502): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_122,2026-09-12T10:41:04.843152,2026-09-12,"Fetch failed for grid AIZ_GRID_122 at (24.365123999999998,92.92688400000002): HTTPSConnectionPool(host='api.open-meteo.com', port=443): Read timed out. (read timeout=15)"
AIZ_GRID_028,2026-09-12T10:41:04.883571,2026-09-12,"No rainfall data available for 2026-09-12 after fetch — excluded, not fabricated."
